time,reference,actual,high,low,error,actual (raw)
0.1896,,,,,,0.001
0.1904,,,,,,0.001
0.1912,,,,,,0.001
0.192,,,,,,0.001
0.1928,,,,,,0.001
0.1936,,,,,,0.001
0.1944,,,,,,0.001
0.1952,,,,,,0.001
0.196,,,,,,0.001
0.1968,,,,,,0.001
0.1976,,,,,,0.001
0.1984,,,,,,0.001
0.1992,,,,,,0.001
0.2,,,,,,0.001
0.2008,,,,,,0.001
0.2016,,,,,,0.001
0.2024,,,,,,0.001
0.2032,,,,,,0.001
0.204,,,,,,0.001
0.2048,,,,,,0.001
0.2056,,,,,,0.001
0.2064,,,,,,0.001
0.2072,,,,,,0.001
0.208,,,,,,0.001
0.2088,,,,,,0.001
0.209600000000004,0.209,0.001,0.21527,-0.00527,,
0.2096,,,,,,0.001
0.209600000000008,0.209,0.001,0.21527,-0.00527,,
0.209600000000012,0.209,0.001,0.21527,-0.00527,,
0.209600000000016,0.209,0.001,0.21527,-0.00527,,
0.20960000000002,0.209,0.001,0.21527,-0.00527,,
0.209600000000024,0.209,0.001,0.21527,-0.00527,,
0.209600000000028,0.209,0.001,0.21527,-0.00527,,
0.209600000000032,0.209,0.001,0.21527,-0.00527,,
0.209600000000036,0.209,0.001,0.21527,-0.00527,,
0.20960000000004,0.209,0.001,0.21527,-0.00527,,
0.209600000000044,0.209,0.001,0.21527,-0.00527,,
0.209600000000048,0.209,0.001,0.21527,-0.00527,,
0.209600000000052,0.209,0.001,0.21527,-0.00527,,
0.209600000000056,0.209,0.001,0.21527,-0.00527,,
0.20960000000006,0.209,0.001,0.21527,-0.00527,,
0.209600000000064,0.209,0.001,0.21527,-0.00527,,
0.209600000000068,0.209,0.001,0.21527,-0.00527,,
0.209600000000072,0.209,0.001,0.21527,-0.00527,,
0.209600000000076,0.209,0.001,0.21527,-0.00527,,
0.20960000000008,0.209,0.001,0.21527,-0.00527,,
0.209600000000084,0.209,0.001,0.21527,-0.00527,,
0.209600000000088,0.209,0.001,0.21527,-0.00527,,
0.209600000000092,0.209,0.001,0.21527,-0.00527,,
0.209600000000096,0.209,0.001,0.21527,-0.00527,,
0.2096000000001,0.209,0.001,0.21527,-0.00527,,
0.209600000000104,0.209,0.001,0.21527,-0.00527,,
0.209600000000108,0.209,0.001,0.21527,-0.00527,,
0.209600000000112,0.209,0.001,0.21527,-0.00527,,
0.209600000000116,0.209,0.001,0.21527,-0.00527,,
0.20960000000012,0.209,0.001,0.21527,-0.00527,,
0.209600000000124,0.209,0.001,0.21527,-0.00527,,
0.209600000000128,0.209,0.001,0.21527,-0.00527,,
0.209600000000132,0.209,0.001,0.21527,-0.00527,,
0.209600000000136,0.209,0.001,0.21527,-0.00527,,
0.20960000000014,0.209,0.001,0.21527,-0.00527,,
0.209600000000144,0.209,0.001,0.21527,-0.00527,,
0.209600000000148,0.209,0.001,0.21527,-0.00527,,
0.209600000000152,0.209,0.001,0.21527,-0.00527,,
0.209600000000156,0.209,0.001,0.21527,-0.00527,,
0.20960000000016,0.209,0.001,0.21527,-0.00527,,
0.209600000000164,0.209,0.001,0.21527,-0.00527,,
0.209600000000168,0.209,0.001,0.21527,-0.00527,,
0.209600000000172,0.209,0.001,0.21527,-0.00527,,
0.209600000000176,0.209,0.001,0.21527,-0.00527,,
0.20960000000018,0.209,0.001,0.21527,-0.00527,,
0.209600000000184,0.209,0.001,0.21527,-0.00527,,
0.209600000000188,0.209,0.001,0.21527,-0.00527,,
0.209600000000192,0.209,0.001,0.21527,-0.00527,,
0.209600000000196,0.209,0.001,0.21527,-0.00527,,
0.2096000000002,0.209,0.001,0.21527,-0.00527,,
0.209600000000204,0.209,0.001,0.21527,-0.00527,,
0.209600000000208,0.209,0.001,0.21527,-0.00527,,
0.209600000000212,0.209,0.001,0.21527,-0.00527,,
0.209600000000216,0.209,0.001,0.21527,-0.00527,,
0.20960000000022,0.209,0.001,0.21527,-0.00527,,
0.209600000000224,0.209,0.001,0.21527,-0.00527,,
0.209600000000228,0.209,0.001,0.21527,-0.00527,,
0.209600000000232,0.209,0.001,0.21527,-0.00527,,
0.209600000000236,0.209,0.001,0.21527,-0.00527,,
0.20960000000024,0.209,0.001,0.21527,-0.00527,,
0.209600000000244,0.209,0.001,0.21527,-0.00527,,
0.209600000000248,0.209,0.001,0.21527,-0.00527,,
0.209600000000252,0.209,0.001,0.21527,-0.00527,,
0.209600000000256,0.209,0.001,0.21527,-0.00527,,
0.20960000000026,0.209,0.001,0.21527,-0.00527,,
0.209600000000264,0.209,0.001,0.21527,-0.00527,,
0.209600000000268,0.209,0.001,0.21527,-0.00527,,
0.209600000000272,0.209,0.001,0.21527,-0.00527,,
0.209600000000276,0.209,0.001,0.21527,-0.00527,,
0.20960000000028,0.209,0.001,0.21527,-0.00527,,
0.209600000000284,0.209,0.001,0.21527,-0.00527,,
0.209600000000288,0.209,0.001,0.21527,-0.00527,,
0.209600000000292,0.209,0.001,0.21527,-0.00527,,
0.209600000000296,0.209,0.001,0.21527,-0.00527,,
0.2096000000003,0.209,0.001,0.21527,-0.00527,,
0.209600000000304,0.209,0.001,0.21527,-0.00527,,
0.209600000000308,0.209,0.001,0.21527,-0.00527,,
0.209600000000312,0.209,0.001,0.21527,-0.00527,,
0.209600000000316,0.209,0.001,0.21527,-0.00527,,
0.20960000000032,0.209,0.001,0.21527,-0.00527,,
0.209600000000324,0.209,0.001,0.21527,-0.00527,,
0.209600000000328,0.209,0.001,0.21527,-0.00527,,
0.209600000000332,0.209,0.001,0.21527,-0.00527,,
0.209600000000336,0.209,0.001,0.21527,-0.00527,,
0.20960000000034,0.209,0.001,0.21527,-0.00527,,
0.209600000000344,0.209,0.001,0.21527,-0.00527,,
0.209600000000348,0.209,0.001,0.21527,-0.00527,,
0.209600000000352,0.209,0.001,0.21527,-0.00527,,
0.209600000000356,0.209,0.001,0.21527,-0.00527,,
0.20960000000036,0.209,0.001,0.21527,-0.00527,,
0.209600000000364,0.209,0.001,0.21527,-0.00527,,
0.209600000000368,0.209,0.001,0.21527,-0.00527,,
0.209600000000372,0.209,0.001,0.21527,-0.00527,,
0.209600000000376,0.209,0.001,0.21527,-0.00527,,
0.20960000000038,0.209,0.001,0.21527,-0.00527,,
0.209600000000384,0.209,0.001,0.21527,-0.00527,,
0.209600000000388,0.209,0.001,0.21527,-0.00527,,
0.209600000000392,0.209,0.001,0.21527,-0.00527,,
0.209600000000396,0.209,0.001,0.21527,-0.00527,,
0.2096000000004,0.209,0.001,0.21527,-0.00527,,
0.209600000000404,0.209,0.001,0.21527,-0.00527,,
0.209600000000408,0.209,0.001,0.21527,-0.00527,,
0.209600000000412,0.209,0.001,0.21527,-0.00527,,
0.209600000000416,0.209,0.001,0.21527,-0.00527,,
0.20960000000042,0.209,0.001,0.21527,-0.00527,,
0.209600000000424,0.209,0.001,0.21527,-0.00527,,
0.209600000000428,0.209,0.001,0.21527,-0.00527,,
0.209600000000432,0.209,0.001,0.21527,-0.00527,,
0.209600000000436,0.209,0.001,0.21527,-0.00527,,
0.20960000000044,0.209,0.001,0.21527,-0.00527,,
0.209600000000444,0.209,0.001,0.21527,-0.00527,,
0.209600000000448,0.209,0.001,0.21527,-0.00527,,
0.209600000000452,0.209,0.001,0.21527,-0.00527,,
0.209600000000456,0.209,0.001,0.21527,-0.00527,,
0.20960000000046,0.209,0.001,0.21527,-0.00527,,
0.209600000000464,0.209,0.001,0.21527,-0.00527,,
0.209600000000468,0.209,0.001,0.21527,-0.00527,,
0.209600000000472,0.209,0.001,0.21527,-0.00527,,
0.209600000000476,0.209,0.001,0.21527,-0.00527,,
0.20960000000048,0.209,0.001,0.21527,-0.00527,,
0.209600000000484,0.209,0.001,0.21527,-0.00527,,
0.209600000000488,0.209,0.001,0.21527,-0.00527,,
0.209600000000492,0.209,0.001,0.21527,-0.00527,,
0.209600000000496,0.209,0.001,0.21527,-0.00527,,
0.2096000000005,0.209,0.001,0.21527,-0.00527,,
0.209600000000504,0.209,0.001,0.21527,-0.00527,,
0.209600000000508,0.209,0.001,0.21527,-0.00527,,
0.209600000000512,0.209,0.001,0.21527,-0.00527,,
0.209600000000516,0.209,0.001,0.21527,-0.00527,,
0.20960000000052,0.209,0.001,0.21527,-0.00527,,
0.209600000000524,0.209,0.001,0.21527,-0.00527,,
0.209600000000528,0.209,0.001,0.21527,-0.00527,,
0.209600000000532,0.209,0.001,0.21527,-0.00527,,
0.209600000000536,0.209,0.001,0.21527,-0.00527,,
0.20960000000054,0.209,0.001,0.21527,-0.00527,,
0.209600000000544,0.209,0.001,0.21527,-0.00527,,
0.209600000000548,0.209,0.001,0.21527,-0.00527,,
0.209600000000552,0.209,0.001,0.21527,-0.00527,,
0.209600000000556,0.209,0.001,0.21527,-0.00527,,
0.20960000000056,0.209,0.001,0.21527,-0.00527,,
0.209600000000564,0.209,0.001,0.21527,-0.00527,,
0.209600000000568,0.209,0.001,0.21527,-0.00527,,
0.209600000000572,0.209,0.001,0.21527,-0.00527,,
0.209600000000576,0.209,0.001,0.21527,-0.00527,,
0.20960000000058,0.209,0.001,0.21527,-0.00527,,
0.209600000000584,0.209,0.001,0.21527,-0.00527,,
0.209600000000588,0.209,0.001,0.21527,-0.00527,,
0.209600000000592,0.209,0.001,0.21527,-0.00527,,
0.209600000000596,0.209,0.001,0.21527,-0.00527,,
0.2096000000006,0.209,0.001,0.21527,-0.00527,,
0.209600000000604,0.209,0.001,0.21527,-0.00527,,
0.209600000000608,0.209,0.001,0.21527,-0.00527,,
0.209600000000612,0.209,0.001,0.21527,-0.00527,,
0.209600000000616,0.209,0.001,0.21527,-0.00527,,
0.20960000000062,0.209,0.001,0.21527,-0.00527,,
0.209600000000624,0.209,0.001,0.21527,-0.00527,,
0.209600000000628,0.209,0.001,0.21527,-0.00527,,
0.209600000000632,0.209,0.001,0.21527,-0.00527,,
0.209600000000636,0.209,0.001,0.21527,-0.00527,,
0.209600000000639,0.209,0.001,0.21527,-0.00527,,
0.209600000000643,0.209,0.001,0.21527,-0.00527,,
0.209600000000647,0.209,0.001,0.21527,-0.00527,,
0.209600000000651,0.209,0.001,0.21527,-0.00527,,
0.209600000000655,0.209,0.001,0.21527,-0.00527,,
0.209600000000659,0.209,0.001,0.21527,-0.00527,,
0.209600000000663,0.209,0.001,0.21527,-0.00527,,
0.209600000000667,0.209,0.001,0.21527,-0.00527,,
0.209600000000671,0.209,0.001,0.21527,-0.00527,,
0.209600000000675,0.209,0.001,0.21527,-0.00527,,
0.209600000000679,0.209,0.001,0.21527,-0.00527,,
0.209600000000683,0.209,0.001,0.21527,-0.00527,,
0.209600000000687,0.209,0.001,0.21527,-0.00527,,
0.209600000000691,0.209,0.001,0.21527,-0.00527,,
0.209600000000695,0.209,0.001,0.21527,-0.00527,,
0.209600000000699,0.209,0.001,0.21527,-0.00527,,
0.209600000000703,0.209,0.001,0.21527,-0.00527,,
0.209600000000707,0.209,0.001,0.21527,-0.00527,,
0.209600000000711,0.209,0.001,0.21527,-0.00527,,
0.209600000000715,0.209,0.001,0.21527,-0.00527,,
0.209600000000719,0.209,0.001,0.21527,-0.00527,,
0.209600000000723,0.209,0.001,0.21527,-0.00527,,
0.209600000000727,0.209,0.001,0.21527,-0.00527,,
0.209600000000731,0.209,0.001,0.21527,-0.00527,,
0.209600000000735,0.209,0.001,0.21527,-0.00527,,
0.209600000000739,0.209,0.001,0.21527,-0.00527,,
0.209600000000743,0.209,0.001,0.21527,-0.00527,,
0.209600000000747,0.209,0.001,0.21527,-0.00527,,
0.209600000000751,0.209,0.001,0.21527,-0.00527,,
0.209600000000755,0.209,0.001,0.21527,-0.00527,,
0.209600000000759,0.209,0.001,0.21527,-0.00527,,
0.209600000000763,0.209,0.001,0.21527,-0.00527,,
0.209600000000767,0.209,0.001,0.21527,-0.00527,,
0.209600000000771,0.209,0.001,0.21527,-0.00527,,
0.209600000000775,0.209,0.001,0.21527,-0.00527,,
0.209600000000779,0.209,0.001,0.21527,-0.00527,,
0.209600000000783,0.209,0.001,0.21527,-0.00527,,
0.209600000000787,0.209,0.001,0.21527,-0.00527,,
0.209600000000791,0.209,0.001,0.21527,-0.00527,,
0.209600000000795,0.209,0.001,0.21527,-0.00527,,
0.209600000000799,0.209,0.001,0.21527,-0.00527,,
0.209600000000803,0.209,0.001,0.21527,-0.00527,,
0.209600000000807,0.209,0.001,0.21527,-0.00527,,
0.209600000000811,0.209,0.001,0.21527,-0.00527,,
0.209600000000815,0.209,0.001,0.21527,-0.00527,,
0.209600000000819,0.209,0.001,0.21527,-0.00527,,
0.209600000000823,0.209,0.001,0.21527,-0.00527,,
0.209600000000827,0.209,0.001,0.21527,-0.00527,,
0.209600000000831,0.209,0.001,0.21527,-0.00527,,
0.209600000000835,0.209,0.001,0.21527,-0.00527,,
0.209600000000839,0.209,0.001,0.21527,-0.00527,,
0.209600000000843,0.209,0.001,0.21527,-0.00527,,
0.209600000000847,0.209,0.001,0.21527,-0.00527,,
0.209600000000851,0.209,0.001,0.21527,-0.00527,,
0.209600000000855,0.209,0.001,0.21527,-0.00527,,
0.209600000000859,0.209,0.001,0.21527,-0.00527,,
0.209600000000863,0.209,0.001,0.21527,-0.00527,,
0.209600000000867,0.209,0.001,0.21527,-0.00527,,
0.209600000000871,0.209,0.001,0.21527,-0.00527,,
0.209600000000875,0.209,0.001,0.21527,-0.00527,,
0.209600000000879,0.209,0.001,0.21527,-0.00527,,
0.209600000000883,0.209,0.001,0.21527,-0.00527,,
0.209600000000887,0.209,0.001,0.21527,-0.00527,,
0.209600000000891,0.209,0.001,0.21527,-0.00527,,
0.209600000000895,0.209,0.001,0.21527,-0.00527,,
0.209600000000899,0.209,0.001,0.21527,-0.00527,,
0.209600000000903,0.209,0.001,0.21527,-0.00527,,
0.209600000000907,0.209,0.001,0.21527,-0.00527,,
0.209600000000911,0.209,0.001,0.21527,-0.00527,,
0.209600000000915,0.209,0.001,0.21527,-0.00527,,
0.209600000000919,0.209,0.001,0.21527,-0.00527,,
0.209600000000923,0.209,0.001,0.21527,-0.00527,,
0.209600000000927,0.209,0.001,0.21527,-0.00527,,
0.209600000000931,0.209,0.001,0.21527,-0.00527,,
0.209600000000935,0.209,0.001,0.21527,-0.00527,,
0.209600000000939,0.209,0.001,0.21527,-0.00527,,
0.209600000000943,0.209,0.001,0.21527,-0.00527,,
0.209600000000947,0.209,0.001,0.21527,-0.00527,,
0.209600000000951,0.209,0.001,0.21527,-0.00527,,
0.209600000000955,0.209,0.001,0.21527,-0.00527,,
0.209600000000959,0.209,0.001,0.21527,-0.00527,,
0.209600000000963,0.209,0.001,0.21527,-0.00527,,
0.209600000000967,0.209,0.001,0.21527,-0.00527,,
0.209600000000971,0.209,0.001,0.21527,-0.00527,,
0.209600000000975,0.209,0.001,0.21527,-0.00527,,
0.209600000000979,0.209,0.001,0.21527,-0.00527,,
0.209600000000983,0.209,0.001,0.21527,-0.00527,,
0.209600000000987,0.209,0.001,0.21527,-0.00527,,
0.209600000000991,0.209,0.001,0.21527,-0.00527,,
0.209600000000995,0.209,0.001,0.21527,-0.00527,,
0.209600000000999,0.209,0.001,0.21527,-0.00527,,
0.209600000001003,0.209,0.001,0.21527,-0.00527,,
0.209600000001007,0.209,0.001,0.21527,-0.00527,,
0.209600000001011,0.209,0.001,0.21527,-0.00527,,
0.209600000001015,0.209,0.001,0.21527,-0.00527,,
0.209600000001019,0.209,0.001,0.21527,-0.00527,,
0.209600000001023,0.209,0.001,0.21527,-0.00527,,
0.209600000001027,0.209,0.001,0.21527,-0.00527,,
0.209600000001031,0.209,0.001,0.21527,-0.00527,,
0.209600000001035,0.209,0.001,0.21527,-0.00527,,
0.209600000001039,0.209,0.001,0.21527,-0.00527,,
0.2104,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2112,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.212,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.212,,,,,,0.001
0.2128,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2128,,,,,,0.001
0.2136,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2144,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2152,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.216,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2168,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2168,,,,,,0.001
0.2176,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2176,,,,,,0.001
0.2184,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2192,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.22,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2208,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2208,,,,,,0.001
0.2216,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2216,,,,,,0.001
0.2224,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2224,,,,,,0.001
0.2232,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.224,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2248,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2256,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2256,,,,,,0.001
0.2264,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2264,,,,,,0.001
0.2272,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.228,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2288,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2296,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2304,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2304,,,,,,0.001
0.2312,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2312,,,,,,0.001
0.232,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2328,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2336,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2344,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2344,,,,,,0.001
0.2352,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2352,,,,,,0.001
0.236,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.236,,,,,,0.001
0.2368,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2376,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2384,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
